Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Components,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Write technical implementation strategy,ECSA-41,10040,Sub-task,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:52,07-09-2024 12:23,07-09-2024 12:40,07-09-2024 12:23,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,ECSA Sprint 1,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81052017,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items",Done,07-09-2024 12:23
Create User Interface Mockup,ECSA-40,10039,Sub-task,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:52,07-09-2024 12:23,07-09-2024 12:40,07-09-2024 12:23,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008n:,,,ECSA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_26128_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81037186,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items",Done,07-09-2024 12:23
"BUG: Incorrect amount is added up, during checkout, for shopping carts containing more than 5 items",ECSA-39,10038,Bug,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:50,07-09-2024 12:04,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-1,Shopping Cart,,,,,,,,,,0|i0008f:,,,,,,,,,,,,,,,10000,Shopping Cart,To Do,06-09-2024 13:50
BUG: Windows do not resize when the app begins loading,ECSA-38,10037,Bug,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:49,07-09-2024 12:04,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-4,Shopping Interface,,,,,,,,,,0|i00087:,,,,,,,,,,,,,,,10003,Shopping Interface,To Do,06-09-2024 13:49
"BUG: Search results do not appear, when using the Android mobile app",ECSA-37,10036,Bug,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:49,07-09-2024 12:25,07-09-2024 12:40,07-09-2024 12:25,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-5,Product Search,,,,,,,,,,0|i0001w:,,,ECSA Sprint 1,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81337067,10004,Product Search,Done,07-09-2024 12:25
BUG: Error message when user tries to check out with the shopping cart,ECSA-36,10035,Bug,In Progress,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:49,07-09-2024 12:25,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-1,Shopping Cart,,,,,,,,,,0|i0001n:,,,ECSA Sprint 1,,,,,,,,,,,,10000,Shopping Cart,In Progress,07-09-2024 12:25
"As a customer, i want to see the Available Shopping hours for each shopping store location, so I know when the store is open.",ECSA-35,10034,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:48,07-09-2024 11:53,06-09-2024 14:35,,version 3,,,0,Store-Info,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-7,Shopping Location,,,,,,,,,,0|i0007j:,,,,,,,,,,,,,,,10006,Shopping Location,To Do,06-09-2024 13:48
"As a customer, I want to see the address and phone number of all shopping stores closest to me, so I can call them when needed.",ECSA-34,10033,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:48,07-09-2024 11:53,06-09-2024 14:21,,version 3,,,0,Store-Info,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-7,Shopping Location,,,,,,,,,,0|i0007b:,,,,,,,,,,,,,,,10006,Shopping Location,To Do,06-09-2024 13:48
"As a customer, i want to see which shopping store is near to my location, so I can drive to the physical location.",ECSA-33,10032,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:48,07-09-2024 11:53,06-09-2024 14:21,,version 3,,,0,Store-Info,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-7,Shopping Location,,,,,,,,,,0|i00073:,,,,,,,,,,,,,,,10006,Shopping Location,To Do,06-09-2024 13:48
"As a customer, I want to receive Refer a Friend Bonus Discounts, so that I can share products with my friends",ECSA-32,10031,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:48,07-09-2024 11:53,07-09-2024 12:40,,version 3,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-6,Loyalties Program,,,,,,,,,,0|i0006v:,,,,,,,,,,,,,,,10005,Loyalties Program,To Do,06-09-2024 13:48
"As a customer, i want to receive an anniversary discount so that I'm rewarded for my one-year anniversaries with the company.",ECSA-31,10030,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:48,07-09-2024 11:53,07-09-2024 12:40,,version 3,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-6,Loyalties Program,,,,,,,,,,0|i0006n:,,,,,,,,,,,,,,,10005,Loyalties Program,To Do,06-09-2024 13:48
"As a customer, I want to get discount coupons when I purchase more than a certain amount, so I can be rewarded for my loyalty to the company.",ECSA-30,10029,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:48,07-09-2024 11:53,07-09-2024 12:40,,version 3,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-6,Loyalties Program,,,,,,,,,,0|i0006f:,,,,,,,,,,,,,,,10005,Loyalties Program,To Do,06-09-2024 13:48
"As a customer, I want the app to show personalized results of products I'm interested in.",ECSA-29,10028,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:48,07-09-2024 11:52,07-09-2024 12:40,,version 2.o,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-5,Product Search,,,,,,,,,,0|i00067:,,,,,,,,,,,,,,,10004,Product Search,To Do,06-09-2024 13:48
"As a customer, I want the app to create filtered results based on my search history.",ECSA-28,10027,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:47,07-09-2024 11:52,07-09-2024 12:40,,version 2.o,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-5,Product Search,,,,,,,,,,0|i0005z:,,,,,,,,,,,,,,,10004,Product Search,To Do,06-09-2024 13:47
"As a customer, I want the app to run existing product queries, so I know the price of similar products.",ECSA-27,10026,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:47,07-09-2024 11:52,07-09-2024 12:40,,version 2.o,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-5,Product Search,,,,,,,,,,0|i0005r:,,,,,,,,,,,,,,,10004,Product Search,To Do,06-09-2024 13:47
"As a customer, I want to filter my search, based on category, brand, and price.",ECSA-26,10025,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:47,07-09-2024 11:52,07-09-2024 12:40,,version 2.o,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-5,Product Search,,,,,,,,,,0|i0005j:,,,,,,,,,,,,,,,10004,Product Search,To Do,06-09-2024 13:47
"As a customer, I want to search for items available in the store, so I can find the items I want to buy.",ECSA-25,10024,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:47,07-09-2024 11:52,07-09-2024 12:40,,version 2.o,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-5,Product Search,,,,,,,,,,0|i0005b:,,,,,,,,,,,,,,,10004,Product Search,To Do,06-09-2024 13:47
"As a customer, I want to view which physical store location has the item I want, so I can purchase it in-person.",ECSA-24,10023,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:47,07-09-2024 11:50,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-4,Shopping Interface,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,10003,Shopping Interface,To Do,06-09-2024 13:47
"As a customer, i want to view the sales price of similar items in the catalog, so I can decide what to buy",ECSA-23,10022,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:47,07-09-2024 11:50,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-4,Shopping Interface,,,,,,,,,,0|i0004v:,,,,,,,,,,,,,,,10003,Shopping Interface,To Do,06-09-2024 13:47
"As a customer, I want to choose the size and quantities for the items I want, so that I can purchase what I need.",ECSA-22,10021,Story,verifyy,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:47,07-09-2024 12:25,07-09-2024 12:13,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-4,Shopping Interface,,,,,,,,,,0|i0001t:,,,ECSA Sprint 1,,3,,,,,,,,,,10003,Shopping Interface,In Progress,07-09-2024 12:25
"As a customer, I want to view products available in the store, so that I can decide which items to buy.",ECSA-21,10020,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:47,07-09-2024 12:16,07-09-2024 12:12,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-4,Shopping Interface,,,,,,,,,,0|i0001f:,,,ECSA Sprint 1,,5,,,,,,,,,,10003,Shopping Interface,To Do,06-09-2024 13:47
"As a customer, i want to be able to change my password, so I can login with new credentials.",ECSA-20,10019,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:46,07-09-2024 11:52,07-09-2024 12:40,,version 2.o,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-3,User Account,,,,,,,,,,0|i00047:,,,,,,,,,,,,,,,10002,User Account,To Do,06-09-2024 13:46
"As a customer, I want to view my wish list, so I can share what I want with others",ECSA-19,10018,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:46,07-09-2024 11:52,07-09-2024 12:40,,version 2.o,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-3,User Account,,,,,,,,,,0|i0003z:,,,,,,,,,,,,,,,10002,User Account,To Do,06-09-2024 13:46
"As a customer, I want to review my account history, so I can see what I purchased in the past.",ECSA-18,10017,Story,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:46,07-09-2024 11:52,07-09-2024 12:40,,version 2.o,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,ECSA-3,User Account,,,,,,,,,,0|i0003r:,,,,,,,,,,,,,,,10002,User Account,To Do,06-09-2024 13:46
